========= before backward =========
Element type                                            Size  Used MEM
-------------------------------------------------------------------------------
Storage on cuda:0
Tensor1079                                              (1,)   512.00B
Tensor1080                                              (1,)   512.00B
Tensor1081                                              (1,)   512.00B
Tensor947                                              (32,)   512.00B
Tensor692                                              (32,)   512.00B
Tensor956                                              (32,)   512.00B
Tensor908                                              (32,)   512.00B
Tensor897                                              (32,)   512.00B
Tensor910                                              (32,)   512.00B
Tensor1082                                             (32,)   512.00B
Tensor954                                              (32,)   512.00B
Tensor793                                               (1,)   512.00B
Tensor1061                                              (1,)   512.00B
Tensor1034                                              (1,)   512.00B
Tensor996                                               (4,)   512.00B
Tensor1032                                              (4,)   512.00B
Tensor853                                               (7,)   512.00B
Tensor688                                               (7,)   512.00B
Tensor870                                              (18,)   512.00B
Tensor945                                              (18,)   512.00B
Tensor869                                               (6,)   512.00B
Tensor671                                               (5,)   512.00B
Tensor47                                               (32,)   512.00B
Tensor1083                                           (32, 4)   512.00B
Tensor683                                              (32,)   512.00B
Tensor938                                            (32, 4)   512.00B
Tensor1009                                             (32,)   512.00B
Tensor1084                                           (32, 4)   512.00B
Tensor1085                                             (32,)   512.00B
Tensor1086                                           (32, 4)   512.00B
Tensor1087                                             (32,)   512.00B
Tensor925                                            (32, 4)   512.00B
Tensor1088                                             (32,)   512.00B
Tensor1089                                           (32, 4)   512.00B
Tensor1090                                             (32,)   512.00B
Tensor1091                                           (32, 4)   512.00B
Tensor670                                              (32,)   512.00B
Tensor1092                                           (32, 4)   512.00B
Tensor666                                  (8, 3, 704, 1280)    82.50M
Tensor1025                                            (4, 4)   512.00B
Tensor1011                                              (4,)   512.00B
Tensor1010                                            (4, 4)   512.00B
rpn.head.bbox_pred.bias.grad                            (4,)   512.00B
Tensor1033                                            (7, 4)   512.00B
Tensor642                                               (7,)   512.00B
Tensor993                                             (7, 4)   512.00B
Tensor941                                               (7,)   512.00B
Tensor949                                            (18, 4)   512.00B
Tensor812                                              (18,)   512.00B
Tensor798                                            (18, 4)   512.00B
Tensor742                                              (18,)   512.00B
Tensor678                                             (6, 4)   512.00B
Tensor686                                               (6,)   512.00B
Tensor685                                             (5, 4)   512.00B
Tensor687                                               (5,)   512.00B
Tensor876                                               (1,)   512.00B
Tensor1014                                              (1,)   512.00B
Tensor39                                             (32, 4)   512.00B
Tensor65                                               (32,)   512.00B
Tensor50                                             (32, 4)   512.00B
Tensor684                                              (32,)   512.00B
Tensor682                                            (32, 4)   512.00B
