========= before backward =========
Element type                                            Size  Used MEM
-------------------------------------------------------------------------------
Storage on cuda:0
Tensor1184                                              (1,)   512.00B
Tensor1185                                              (1,)   512.00B
Tensor1186                                              (1,)   512.00B
Tensor993                                              (32,)   512.00B
Tensor1141                                             (32,)   512.00B
Tensor996                                              (32,)   512.00B
Tensor1142                                             (32,)   512.00B
Tensor1072                                             (32,)   512.00B
Tensor982                                              (32,)   512.00B
roi_heads.box.feature_extractor.fc6.weight.grad               (32,)   512.00B
Tensor1130                                             (32,)   512.00B
Tensor1187                                              (1,)   512.00B
Tensor1138                                              (1,)   512.00B
Tensor1143                                              (1,)   512.00B
Tensor871                                               (1,)   512.00B
Tensor742                                               (2,)   512.00B
Tensor1139                                              (2,)   512.00B
Tensor1054                                              (2,)   512.00B
Tensor693                                              (16,)   512.00B
Tensor1016                                             (17,)   512.00B
Tensor783                                              (12,)   512.00B
Tensor1170                                             (12,)   512.00B
Tensor1188                                             (32,)   512.00B
Tensor1189                                           (32, 4)   512.00B
Tensor1190                                             (32,)   512.00B
Tensor1191                                           (32, 4)   512.00B
Tensor1192                                             (32,)   512.00B
Tensor1193                                           (32, 4)   512.00B
Tensor1194                                             (32,)   512.00B
Tensor1195                                           (32, 4)   512.00B
Tensor1196                                             (32,)   512.00B
Tensor1197                                           (32, 4)   512.00B
Tensor986                                              (32,)   512.00B
Tensor1198                                           (32, 4)   512.00B
Tensor978                                              (32,)   512.00B
Tensor1199                                           (32, 4)   512.00B
Tensor1079                                             (32,)   512.00B
Tensor878                                            (32, 4)   512.00B
Tensor758                                  (8, 3, 704, 1280)    82.50M
Tensor749                                             (1, 4)   512.00B
Tensor945                                               (1,)   512.00B
Tensor848                                             (2, 4)   512.00B
Tensor814                                               (2,)   512.00B
Tensor563                                             (2, 4)   512.00B
Tensor1200                                              (2,)   512.00B
Tensor1056                                            (2, 4)   512.00B
Tensor1058                                              (2,)   512.00B
Tensor1055                                           (16, 4)   512.00B
Tensor564                                              (16,)   512.00B
Tensor1057                                           (17, 4)   512.00B
Tensor1059                                             (17,)   512.00B
Tensor894                                            (12, 4)   512.00B
roi_heads.box.feature_extractor.fc6.weight.grad               (12,)   512.00B
Tensor832                                            (12, 4)   512.00B
Tensor820                                              (12,)   512.00B
Tensor1201                                              (1,)   512.00B
Tensor1202                                              (1,)   512.00B
Tensor1203                                           (32, 4)   512.00B
Tensor1204                                             (32,)   512.00B
Tensor1205                                           (32, 4)   512.00B
